Geneid	KO	log2FoldChange	padj	Description
LOC113689776	K04733	1.58016286496014	0.0643750718358138	Leucine rich repeat N-terminal domain
LOC113689776	K13420	1.58016286496014	0.0643750718358138	Leucine rich repeat N-terminal domain
LOC113733889	K02183	1.35591338309269	0.00477426781139558	EF-hand domain
LOC113733889	K16465	1.35591338309269	0.00477426781139558	EF-hand domain
LOC113728125	K13425	0.955034479491537	0.0533470288537654	WRKY transcription factor
LOC113724956	K13425	0.936669248274325	0.0374428027254973	WRKY transcription factor
LOC113743418	K04730	0.701848180293282	0.0398092851468146	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113743418	K04733	0.701848180293282	0.0398092851468146	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113743418	K13420	0.701848180293282	0.0398092851468146	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113731163	K13423	0.534863022089038	0.0174395067043829	WRKY transcription factor
LOC113731163	K13424	0.534863022089038	0.0174395067043829	WRKY transcription factor
LOC113728189	K02183	-0.932612756795251	0.0492464597074644	EF-hand domain pair
LOC113728189	K10840	-0.932612756795251	0.0492464597074644	EF-hand domain pair
LOC113728189	K16465	-0.932612756795251	0.0492464597074644	EF-hand domain pair
LOC113695462	K02183	-1.18318471236113	0.0112454955168834	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
